location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Oregun Ikeja Lagos,,,,,Commercial Property FOR Rent,20000000
Ikeja Lagos,3,,,,Commercial Property FOR Rent,3000000
Maryland Ikeja Lagos,1,,,,Flat Apartment FOR Rent,1000000
Maryland Ikeja Lagos,2,,,,Flat Apartment FOR Rent,5000000
Opebi Ikeja Lagos,,,,,Commercial Property FOR Rent,100000000
"Adekunle Fajuyi Way, Ikeja Gra Ikeja Lagos",,,,,Commercial Property FOR Rent,150000000
Anthony Village Maryland Lagos,3,,,,Commercial Property FOR Rent,12000000
Ogba Bus Stop Ogba Lagos,,,,,Commercial Property FOR Rent,30000000
Ikorodu Road Shomolu Lagos,4,,,,Commercial Property FOR Rent,6000000
Ikeja Gra Ikeja Lagos,3,,,,Flat Apartment FOR Rent,20000000
Obanikoro Shomolu Lagos,4,,,,House FOR Rent,12000000
"Magodo Brooks Estate, Magodo Gra Phase 1 Ojodu Lagos",5,,,,House FOR Rent,20000000
Anthony Village Maryland Lagos,3,,,,Commercial Property FOR Rent,60000000
Ikeja Gra Ikeja Lagos,3,,,,Flat Apartment FOR Rent,20000000
"Itele Close, Ayobo Ipaja Lagos",3,3,,,Flat Apartment FOR Rent,500000
"Itele Close, Ayobo Ipaja Lagos",1,1,,,Flat Apartment FOR Rent,250000
Itele Close Ayobo Ipaja Lagos,1,1,,,Flat Apartment FOR Rent,100000
Idi Olowo Mushin Lagos,2,,,,Flat Apartment FOR Rent,2500000
Jakande Estate Isolo Lagos,2,,,,House FOR Rent,2000000
Shogunle Oshodi Lagos,1,,,,Flat Apartment FOR Rent,1000000
Onike Yaba Lagos,2,2,,,Flat Apartment FOR Rent,4000000
Mafoluku Oshodi Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Alagomeji Yaba Lagos,,,,,Flat Apartment FOR Rent,6000000
Fagbile Estate Ijegun Ikotun Igando Lagos,1,1,,,Flat Apartment FOR Rent,800000
Ikeja Gra Ikeja Lagos,,,,,Flat Apartment FOR Rent,18000000
Bucknor Isolo Lagos,3,,,,Flat Apartment FOR Rent,2500000
Bucknor Isolo Lagos,3,,,,House FOR Rent,2000000
Isheri Osun After Bucknor Bucknor Isolo Lagos,1,1,,,Flat Apartment FOR Rent,800000
"K Farm Estate, Ogba Lagos",1,1,,,Flat Apartment FOR Rent,2000000
Kudeibu Estate Ijegun Ikotun Igando Lagos,1,1,,,Flat Apartment FOR Rent,700000
Jakande Estate Isolo Lagos,,,,,House FOR Rent,4000000
Off Mass Burial Road Oke Afa Isolo Lagos,1,1,,,Flat Apartment FOR Rent,1200000
"Off Market Road, Shomolu Lagos",,,,,Flat Apartment FOR Rent,1000000
Idi Olowo Mushin Lagos,1,,,,Flat Apartment FOR Rent,1500000
Yaba Lagos,2,2,,,Flat Apartment FOR Rent,4500000
Anthony Village Maryland Lagos,,,,,House FOR Rent,3000000
Magodo Gra Phase 2 Kosofe/ikosi Lagos,3,3,,,Flat / Apartment FOR SHORTLET,140000
Mende Maryland Lagos,3,,,,Flat Apartment FOR Rent,6000000
"Sabo Alagomej, Yaba Lagos",3,3,,,Commercial Property FOR Rent,6000000
"By Herbert Macaulay Way, Yaba Lagos",,,,,Commercial Property FOR Rent,1500000
"Alagomeji Sabo, Yaba, Lagos Sabo Yaba Lagos",,,,,Commercial Property FOR Rent,8500000
Yaba Lagos,3,3,,,Flat Apartment FOR Rent,4500000
Yaba Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Yaba Yaba Lagos,2,2,,,Flat Apartment FOR Rent,2000000
Yaba Lagos,,,,,Flat Apartment FOR Rent,1000000
"Off Herbert Macaulay Way, Yaba Lagos",2,2,,,Flat Apartment FOR Rent,3000000
Surulere Lagos,4,,,,House FOR Rent,10000000
"Directly Facing A Busy Road, Yaba Lagos",,,,,Commercial Property FOR Rent,6000000
"Sabo Alagomeji Yaba, Lagos Alagomeji Yaba Lagos",2,2,,,Flat Apartment FOR Rent,5500000
"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",3,3,,,Flat Apartment FOR Rent,8000000
"Off Herbert Macaulay Way, Yaba ,lagos. Yaba Lagos",2,2,,,Flat Apartment FOR Rent,2500000
"Alagomeji, Yaba, Lagos Alagomeji Yaba Lagos",,,,,Flat Apartment FOR Rent,1500000
"By Herbert Macaulay Way, Yaba Lagos",,,,,Commercial Property FOR Rent,5000000
