location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira,source
Sapphire Garden Awoyaya Ajah Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED BUNGALOW,,privateproperty
Lekki Phase 1 Lekki Lagos,5.0,,,,5 BEDROOM DUPLEX,,privateproperty
Pinnock Beach Estate Osapa London Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Banana Island Ikoyi Lagos,2.0,,,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Omole Phase2 Omole Phase 2 Ojodu Lagos,3.0,4.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Old Ikoyi Ikoyi Lagos,4.0,,,,4 BEDROOM HOUSE,,privateproperty
Old Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Opic Estate Isheri North Ojodu Lagos,2.0,3.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Off Freedom Way Lekki Lagos,1.0,1.0,,,1 BEDROOM STUDIO APARTMENT,,privateproperty
Victoria Island Victoria Island Lagos,4.0,4.0,4.0,,4 BEDROOM DUPLEX,,privateproperty
Azuri Tower Two Eko Atlantic Victoria Island Lagos,3.0,4.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Ikeja Opebi Ikeja Lagos,4.0,5.0,5.0,,4 BEDROOM HOUSE,,privateproperty
Ikoyi Lagos,6.0,6.0,7.0,,6 BEDROOM COMMERCIAL PROPERTY,,privateproperty
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ikate Elegushi Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Victoria Island Victoria Island Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,5.0,,,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Central Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,,,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,4.0,4.0,4.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Olowora Olowora Ojodu Lagos,2.0,3.0,3.0,,2 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,4.0,,,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Old Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Osapa London Lekki Lagos,4.0,,,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,4.0,4.0,4.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Off Admiralty Way Lekki Phase 1 Lekki Lagos,,,,,OFFICE,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,,,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Magodo Kosofe/ikosi Lagos,1.0,1.0,1.0,,1 BEDROOM STUDIO APARTMENT Short let,,privateproperty
Magodo Phase1 Gra Magodo Gra Phase 1 Ojodu Lagos,2.0,3.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Maple Estate Oko Oba Agege Lagos,2.0,3.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
"Azuri Tower Two, Eko Atlantic City Eko Atlantic Victoria Island Lagos",4.0,5.0,5.0,,4 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Lekki Lagos,5.0,5.0,5.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Olowotedo Via Arepo Berger Lagos Extension Ogun,2.0,,,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Ikoyi Lagos,4.0,4.0,4.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
"Amen Estate, Eleko Lekki Lagos",7.0,7.0,8.0,,7 BEDROOM DETACHED DUPLEX,,privateproperty
Bluewaters Apartments Oniru Victoria Island Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,,4.0,,,DETACHED DUPLEX,,privateproperty
Magodo Phase 2 Magodo Gra Phase 2 Kosofe/ikosi Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Periwinkle Estate Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM PENTHOUSE,,privateproperty
Azuri Tower One Eko Atlantic Victoria Island Lagos,4.0,5.0,5.0,,4 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Chevron Drive Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Jakande Bus Stop Jakande Lekki Lagos,,,,,LAND,,privateproperty
Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM FLAT & APARTMENT,,privateproperty
Banana Island Estate Banana Island Ikoyi Lagos,4.0,3.0,4.0,,4 BEDROOM TERRACE,,privateproperty
Banana Island Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki County Homes Ikota Lekki Lagos,5.0,,,,5 BEDROOM DETACHED DUPLEX For Sale,,privateproperty
Off Awolowo Road Old Ikoyi Ikoyi Lagos,3.0,,,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Vi Victoria Island Lagos,4.0,4.0,5.0,,4 BEDROOM OFFICE,,privateproperty
Off Bourdillon Bourdillon Ikoyi Lagos,3.0,,,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Old Ikoyi Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Banana Island Estate Banana Island Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACED DUPLEX,,privateproperty
Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM HOUSE,,privateproperty
Banana Island Estate Banana Island Ikoyi Lagos,4.0,3.0,4.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Right /oniru Lekki Lagos,4.0,4.0,4.0,,4 BEDROOM DUPLEX,,privateproperty
Banana Island Banana Island Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
Ikate Lekki Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Ikoyi Lagos Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lagos,10.0,10.0,10.0,,10 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Right Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACE,,privateproperty
Victoria Island Victoria Island Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Island Lagos Victoria Island Victoria Island Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
"Golden Palm Estate, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Ikoyi Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Royal Garden Estate Ajiwe Ajah Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Abacha Estate Ikoyi Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM PENTHOUSE,,privateproperty
Ikota Lekki Ikota Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Secured Estate In Ajah Ajah Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX For Sale,,privateproperty
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
"Castle And Temple, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Ikate Lekki Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Ikate Lekki Lagos Shomolu Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Allen Avenue Ikeja Lagos,,,,,OFFICE,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
"Dr Ladi Alakija, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM STUDIO APARTMENT,,privateproperty
Osapa London Lekki Phase 1 Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Ikoyi Lagos Ikoyi Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM MAISONETTE,,privateproperty
Oniru Vi Oniru Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Island Victoria Island Victoria Island Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Old Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Thomas Estate Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Ikoyi Lagos Ikoyi Ikoyi Lagos,10.0,10.0,10.0,,10 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,6.0,6.0,7.0,,6 BEDROOM HOUSE,,privateproperty
Ikate Lekki Phase 1 Ikate Elegushi Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Osapa London Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Conservative Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Chevron Drive Lekki Chevron Drive Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Orchid Road Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ologolo Lekki Lagos,4.0,,,,4 BEDROOM DUPLEX For Sale,,privateproperty
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM MAISONETTE,,privateproperty
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX,,privateproperty
Pinnock Beach Osapa Osapa Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Orchid Lekki Phase 2 Lekki Phase 2 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
Ikate Lekki Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX,,privateproperty
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Proper Lekki Phase One Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Lagos Ikoyi Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM MAISONETTE,,privateproperty
Ikate Lekki Lekki Phase 1 Lekki Lagos,1.0,1.0,2.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
Plantinium Way Ikate Lekki Nicon Town Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Old Ikoyi Old Ikoyi Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
"Glover Road, Ikoyi Lekki Phase 1 Lekki Lagos",3.0,3.0,4.0,,3 BEDROOM DETACHED DUPLEX,,privateproperty
Chervon Lekki Phase 2 Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Osapa London Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Harris Drive Vgc Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Chevron Chevron Drive Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Off Admiralty Way Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT For Sale,,privateproperty
Ilasan Lekki Ilasan Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Parkview Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM HOUSE,,privateproperty
"Opposite Orchid Hospital, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Secure Estate In Lekki Phase One Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Ogidan Sangotedo Sangotedo Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Obafemi Awolowo Way Ikeja Lagos,3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Banana Island Banana Island Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX,,privateproperty
Central Lekki Phase One Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM MAISONETTE,,privateproperty
Old Ikoyi Old Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX,,privateproperty
Orchid Lekki Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Central Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Balogun Ikeja Lagos,3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Nike Art Gallery Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM MAISONETTE,,privateproperty
Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
"Oral Estate, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",5.0,5.0,6.0,,5 BEDROOM TERRACED DUPLEX,,privateproperty
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Orchid Road Lekki Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Osborne Phase One Osborne Foreshore Estate Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX,,privateproperty
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Chisco Ikate Lekki Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Lekki Phase 1 Lagos,5.0,5.0,6.0,,5 BEDROOM SHARED APARTMENT For Sale,,privateproperty
Off Freedom Way Ikate Lekki Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Off Fola Osinbo Lekki Phase One Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Chevron Toll Gate Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Banana Island Road Banana Island Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Oniru Estate Victoria Island Oniru Victoria Island Lagos,3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Parkview Ikoyi Parkview Estate Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
"Conservative, Orchid Lekki Lagos",4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Bluewaters Victoria Island Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Conservative Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Royal Pine Orchid Lekki Phase 2 Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Osborne Phase One Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Freedom Way Lekki Phase One Lekki Phase 1 Lekki Lagos,5.0,5.0,5.0,,5 BEDROOM DUPLEX,,privateproperty
"Vintage Estate, Majek Sangotedo Ajah Lagos",1.0,1.0,1.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
Ilasan Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Orchid Road Lekki Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Osapa London Lekki Phase 1 Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Victoria Island Victoria Island Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Secured Estate In Ajah Ajah Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX For Sale,,privateproperty
Salem Ikate Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
"Banana Island, Ikoyi Banana Island Ikoyi Lagos",4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Idado Idado Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Banana Island Ikoyi Banana Island Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
"Grace Court, Royal Pine Gate 1 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM STUDIO APARTMENT,,privateproperty
Ikota Lekki Ikota Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Phase One Lekki Phase 1 Lekki Lagos,8.0,8.0,9.0,,8 BEDROOM OFFICE,,privateproperty
Thomas Ajah Ajah Ajah Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACE,,privateproperty
Ologolo Lekki Ologolo Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lateef Jakande Road Agidingbi Ikeja Lagos,,,10.0,,OFFICE,,privateproperty
By Enyo Filling Station Ikate Elegushi Lekki Lagos,1.0,1.0,2.0,,1 BEDROOM MINI FLAT,,privateproperty
Magodo Phase 2 Magodo Gra Phase 2 Kosofe/ikosi Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
"Osapa London, Lekki Phase 1 Osapa London Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Adeniyi Jones Ikeja Lagos,,,10.0,,OFFICE,,privateproperty
Idado Lekki Ologolo Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Alt Route Chevron Drive Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Chevron Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Ikeja Gra Ikeja Lagos,3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Osapa London Lekki Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
"Off Freedom Way, Ikate Lekki Phase 1 Lekki Lagos",2.0,2.0,3.0,,2 BEDROOM DETACHED DUPLEX,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX For Sale,,privateproperty
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACE,,privateproperty
Oral Estate Oral Estate Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Igbo Ofon Igbo Efon Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACE,,privateproperty
Lekki Right Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Thomas Estate Ajah Thomas Estate Ajah Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
"Van Daniels Estate, Orchid Lekki Phase 2 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM STUDIO APARTMENT,,privateproperty
Thomas Estate Ajah Ajah Ajah Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Vi Victoria Island Victoria Island Lagos,6.0,6.0,7.0,,6 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Omole Phase 2 Ojodu Lagos,4.0,4.0,4.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lagos Lekki Phase 1 Lekki Lagos,10.0,10.0,10.0,,10 BEDROOM BLOCK OF FLATS,,privateproperty
Van Daniels Estate Orchid Lekki Phase 2 Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM SELF CONTAIN,,privateproperty
Banana Island Ikoyi Lagos,,,,,COMMERCIAL LAND,,privateproperty
"Orchid, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Conservative Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Lekki Phase One Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ikoyi South West Ikoyi South West Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DUPLEX,,privateproperty
Victoria Island Lagos Victoria Island Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Banana Island Ikoyi Banana Island Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Monestary Road Sangotedo Ajah Sangotedo Ajah Lagos,,,,,RESIDENTIAL LAND For Sale,,privateproperty
Friend's Colony Osapa London Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Ikate Lekki Lekki Phase 2 Lekki Lagos,1.0,1.0,2.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
Royal Pine Gate 1 Orchid Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM HOUSE,,privateproperty
Ikoyi Lagos Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Ologolo Lekki Phase 1 Ologolo Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Lekki Right Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Imperial Oak Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM SELF CONTAIN,,privateproperty
Osapa London Lekki Phase 1 Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Gerard Road Old Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ologolo Lekki Phase One Ologolo Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Osapa London Lekki Phase 2 Lekki Lagos,5.0,5.0,4.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Old Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Banana Island Estate Banana Island Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Orchid Road Lekki Phase 2 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
"Van Daniels Estate, Orchid Lekki Phase 2 Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM STUDIO APARTMENT,,privateproperty
"Jadeville Chevron Alternative, Lekki Chevron Drive Lekki Lagos",1.0,1.0,1.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
Parkview Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM MAISONETTE,,privateproperty
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Chevron Lekki Chevron Drive Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Ilaje Mobil Road Lekki Phase 2 Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
