location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Guzape Abuja Phase 1 Abuja,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Oniru Victoria Island Oniru Victoria Island Lagos,3,3,3,,3 BEDROOM MINI FLAT,
Old Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Ikate Elegushi Lekki Lagos,4,4,6,,4 BEDROOM SEMI DETACHED DUPLEX,
Banana Island Lagos Banana Island Ikoyi Lagos,3,3,4,,3 BEDROOM MAISONETTE,
Maitama Maitama Abuja Phase 1 Abuja,3,3,4,,3 BEDROOM BLOCK OF FLATS,
"Omitoro, Ijede Road, Ijede Ikorodu Lagos",2,2,2,,2 BEDROOM BLOCK OF FLATS,
Parkview Estate Parkview Estate Ikoyi Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Freedom Way Lekki Phase 2 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Old Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Osapa London Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Orchid Lekki Expressway Lekki Lagos,1,1,2,,1 BEDROOM SHARED APARTMENT,
Banana Island Ikoyi Lagos,5,5,6,,5 BEDROOM HOUSE For Sale,
Gra Ikota Lekki Lagos,3,3,4,,3 BEDROOM TERRACE,
Osapa London Lekki Lagos,,,1,,OFFICE,
Ikate Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Ait Road Alagbado Lagos State Alagbado Abule Egba Lagos,0,0,0,,SHOP,
Omole Olowora Ojodu Lagos,3,4,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Ologolo Lekki Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Allen Opebi Ikeja Lagos,3,4,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,4,,,,4 BEDROOM TERRACE,
Osapa London Lekki Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Omole Phase2 Omole Phase 2 Ojodu Lagos,2,3,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Olowotedo Ibafo Ogun Area Ogun,6,7,7,,6 BEDROOM TERRACED DUPLEX,
"Beside Prime Water, Off Freedom Way, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",3,3,3,,3 BEDROOM BLOCK OF FLATS,
Sapphire Garden Awoyaya Ajah Lagos,4,4,5,,4 BEDROOM TERRACED BUNGALOW,
Lekki Phase 1 Lekki Lagos,5,,,,5 BEDROOM DUPLEX,
Pinnock Beach Estate Osapa London Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Banana Island Ikoyi Lagos,2,,,,2 BEDROOM FLAT & APARTMENT,
Omole Phase2 Omole Phase 2 Ojodu Lagos,3,4,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
