location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,11000000/year
Ikoyi Lagos,4,4,,,House FOR Rent,35000000/year
Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,15000000/year
Vgc Lekki Lagos,4,4,,,House FOR Rent,8500000/year
Igbo Efon Lekki Lagos,5,5,,,House FOR Rent,25000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,6000000/year
Van Daniel Estate Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,2500000/year
Ikate Lekki Lagos,5,5,,,House FOR SALE,900000000
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Phase 1 Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,25000000/year
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,12000000/year
Fountain Spring Estate Sangotedo Ajah Lagos,4,4,,,House FOR Rent,11000000/year
Oniru Estates Oniru Victoria Island Lagos,4,4,,,House FOR Rent,20000000/year
Osapa Osapa London Lekki Lagos,2,2,,,Flat Apartment FOR Rent,7500000/year
Banana Island Ikoyi Lagos,3,2,,,Flat Apartment FOR Rent,60000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,House FOR Rent,50000000/year
Ado Odo Ota Ogun,,,,,Commercial Property FOR Rent,60000000/year
Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,40000000/year
Old Ikoyi Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,47200000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat / Apartment FOR RENT,50000000/year
Banana Island Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,55000000/year
Banana Island Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,60000000/year
Victoria Island Lagos,1,1,,,Flat Apartment FOR Rent,51200000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,100000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,55000000/year
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,40000000/year
Banana Island Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,60000000/year
Banana Island Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,75000000/year
